0,18,8,1,1
1,15,8,1,1
2,18,8,1,1
3,16,8,1,1
4,17,8,1,1
5,15,8,1,1
6,14,8,1,1
7,14,8,1,1
8,14,8,1,1
9,15,8,1,1
10,15,8,1,1
11,14,8,1,1
12,15,8,1,1
13,14,8,1,1
14,24,4,3,3
15,22,6,1,1
16,18,6,1,1
17,21,6,1,1
18,27,4,3,3
19,26,4,2,2
20,25,4,2,2
21,24,4,2,2
22,25,4,2,2
23,26,4,2,2
24,21,6,1,1
25,10,8,1,1
26,10,8,1,1
27,11,8,1,1
28,9,8,1,1
29,27,4,3,3
30,28,4,1,1
31,25,4,3,3
32,19,6,1,1
33,16,6,1,1
34,17,6,1,1
35,19,6,1,1
36,18,6,1,1
37,14,8,1,1
38,14,8,1,1
39,14,8,1,1
40,14,8,1,1
41,12,8,1,1
42,13,8,1,1
43,13,8,1,1
44,18,6,1,1
45,22,4,1,1
46,19,6,1,1
47,18,6,1,1
48,23,4,1,1
49,28,4,2,2
50,30,4,2,2
51,30,4,2,2
52,31,4,3,3
53,35,4,3,3
54,27,4,2,2
55,26,4,1,1
56,24,4,3,3
57,25,4,1,1
58,23,4,2,2
59,20,4,1,1
60,21,4,1,1
61,13,8,1,1
62,14,8,1,1
63,15,8,1,1
64,14,8,1,1
65,17,8,1,1
66,11,8,1,1
67,13,8,1,1
68,12,8,1,1
69,13,8,1,1
70,19,3,3,3
71,15,8,1,1
72,13,8,1,1
73,13,8,1,1
74,14,8,1,1
75,18,4,2,2
76,22,4,2,2
77,21,4,2,2
78,26,4,2,2
79,22,4,1,1
80,28,4,3,3
81,23,4,3,3
82,28,4,1,1
83,27,4,3,3
84,13,8,1,1
85,14,8,1,1
86,13,8,1,1
87,14,8,1,1
88,15,8,1,1
89,12,8,1,1
90,13,8,1,1
91,13,8,1,1
92,14,8,1,1
93,13,8,1,1
94,12,8,1,1
95,13,8,1,1
96,18,6,1,1
97,16,6,1,1
98,18,6,1,1
99,18,6,1,1
100,23,6,1,1
101,26,4,2,2
102,11,8,1,1
103,12,8,1,1
104,13,8,1,1
105,12,8,1,1
106,18,6,1,1
107,20,4,3,3
108,21,4,1,1
109,22,4,3,3
110,18,3,3,3
111,19,4,1,1
112,21,6,1,1
113,26,4,2,2
114,15,8,1,1
115,16,8,1,1
116,29,4,2,2
117,24,4,2,2
118,20,4,2,2
119,19,4,2,2
120,15,8,1,1
121,24,4,2,2
122,20,6,3,3
123,11,8,1,1
124,20,6,1,1
125,19,6,1,1
126,15,6,1,1
127,31,4,3,3
128,26,4,1,1
129,32,4,3,3
130,25,4,1,1
131,16,6,1,1
132,16,6,1,1
133,18,6,1,1
134,16,8,1,1
135,13,8,1,1
136,14,8,1,1
137,14,8,1,1
138,14,8,1,1
139,29,4,2,2
140,26,4,2,2
141,26,4,2,2
142,31,4,3,3
143,32,4,3,3
144,28,4,1,1
145,24,4,2,2
146,26,4,2,2
147,24,4,3,3
148,26,4,3,3
149,31,4,2,2
150,19,6,1,1
151,18,6,1,1
152,15,6,1,1
153,15,6,1,1
154,16,8,1,1
155,15,8,1,1
156,16,8,1,1
157,14,8,1,1
158,17,6,1,1
159,16,6,1,1
160,15,6,1,1
161,18,6,1,1
162,21,6,1,1
163,20,8,1,1
164,13,8,1,1
165,29,4,3,3
166,23,4,1,1
167,20,6,1,1
168,23,4,1,1
169,24,4,3,3
170,25,4,2,2
171,24,4,3,3
172,18,6,1,1
173,29,4,2,2
174,19,6,1,1
175,23,4,2,2
176,23,4,2,2
177,22,4,2,2
178,25,4,2,2
179,33,4,3,3
180,28,4,2,2
181,25,4,2,2
182,25,4,1,1
183,26,4,1,1
184,27,4,2,2
185,17.5,8,1,1
186,16,8,1,1
187,15.5,8,1,1
188,14.5,8,1,1
189,22,6,1,1
190,22,6,1,1
191,24,6,1,1
192,22.5,6,1,1
193,29,4,1,1
194,24.5,4,1,1
195,29,4,2,2
196,33,4,3,3
197,20,6,1,1
198,18,6,1,1
199,18.5,6,1,1
200,17.5,6,1,1
201,29.5,4,2,2
202,32,4,3,3
203,28,4,3,3
204,26.5,4,1,1
205,20,4,2,2
206,13,8,1,1
207,19,4,2,2
